InventoryID,SupplyID,WarehouseID,QuantityInStock,ReorderLevel,Trailing30DayConsumption
1,1,1,362,32,29.2
2,1,2,16,61,56.0
3,1,3,81,94,91.3
4,1,4,9,77,71.9
5,1,5,316,45,75.3
6,1,6,320,80,122.5
7,1,7,290,97,92.5
8,2,1,454,73,84.1
9,2,2,9,50,38.9
10,2,3,91,63,63.1
11,2,4,211,67,66.8
12,2,5,367,38,34.6
13,2,6,44,90,164.6
14,2,7,469,40,56.0
15,3,1,147,79,75.2
16,3,2,33,94,104.3
17,3,3,33,77,76.8
18,3,4,497,84,86.0
19,3,5,171,36,41.4
20,3,6,464,31,26.4
21,3,7,274,93,92.1
22,4,1,491,94,43.1
23,4,2,5,56,62.8
24,4,3,23,78,65.0
25,4,4,462,28,16.6
26,4,5,110,41,33.4
27,4,6,50,72,25.1
28,4,7,364,85,76.2
29,5,1,260,22,25.0
30,5,2,63,88,114.4
31,5,3,57,81,76.0
32,5,4,307,99,76.7
33,5,5,281,62,57.3
34,5,6,159,91,105.1
35,5,7,403,77,67.6
36,6,1,267,73,69.7
37,6,2,27,66,77.8
38,6,3,17,63,84.8
39,6,4,156,69,62.6
40,6,5,297,90,69.5
41,6,6,332,43,37.3
42,6,7,475,100,65.8
43,7,1,7,39,36.2
44,7,2,34,50,20.5
45,7,3,91,66,54.6
46,7,4,54,89,78.5
47,7,5,443,58,63.0
48,7,6,16,60,36.8
49,7,7,220,34,22.2
50,8,1,479,93,102.1
51,8,2,6,45,67.6
52,8,3,74,53,67.4
53,8,4,488,48,36.4
54,8,5,88,43,45.1
55,8,6,5,100,105.5
56,8,7,10,76,22.8
57,9,1,345,33,37.3
58,9,2,40,51,50.5
59,9,3,53,60,43.5
60,9,4,492,81,99.3
61,9,5,347,47,54.3
62,9,6,88,21,22.7
63,9,7,475,31,34.8
64,10,1,326,39,40.6
65,10,2,69,99,61.8
66,10,3,0,88,86.2
67,10,4,83,31,45.4
68,10,5,168,95,109.1
69,10,6,85,63,93.2
70,10,7,415,44,29.8
71,11,1,433,74,56.3
72,11,2,98,85,81.4
73,11,3,84,92,46.2
74,11,4,35,28,29.9
75,11,5,440,90,67.0
76,11,6,160,28,18.8
77,11,7,188,53,40.0
78,12,1,99,77,100.1
79,12,2,98,58,63.8
80,12,3,74,86,74.6
81,12,4,329,29,37.7
82,12,5,455,96,3.8
83,12,6,448,41,43.7
84,12,7,305,57,84.0
85,13,1,98,42,41.6
86,13,2,96,67,73.9
87,13,3,2,69,71.3
88,13,4,436,92,86.9
89,13,5,496,64,59.1
90,13,6,474,79,19.8
91,13,7,228,61,91.5
92,14,1,219,57,62.0
93,14,2,9,64,65.0
94,14,3,100,78,75.8
95,14,4,399,50,55.2
96,14,5,85,97,93.7
97,14,6,334,93,105.8
98,14,7,367,48,55.0
99,15,1,259,38,48.4
100,15,2,15,96,153.4
101,15,3,29,83,87.7
102,15,4,155,61,58.6
103,15,5,25,30,55.1
104,15,6,76,25,23.2
105,15,7,231,43,38.9
106,16,1,40,25,24.4
107,16,2,23,88,108.8
108,16,3,40,98,118.1
109,16,4,45,96,68.4
110,16,5,172,38,34.6
111,16,6,157,63,84.4
112,16,7,251,86,44.1
113,17,1,311,51,63.6
114,17,2,65,83,79.7
115,17,3,34,71,84.1
116,17,4,347,72,86.9
117,17,5,297,46,3.4
118,17,6,206,57,52.8
119,17,7,289,69,60.2
120,18,1,322,60,73.2
121,18,2,58,79,37.0
122,18,3,5,95,147.1
123,18,4,166,22,16.3
124,18,5,9,57,71.6
125,18,6,231,74,76.6
126,18,7,352,95,68.6
127,19,1,500,61,38.2
128,19,2,39,58,78.4
129,19,3,54,67,11.3
130,19,4,413,46,5.8
131,19,5,481,52,59.8
132,19,6,141,30,9.6
133,19,7,409,28,32.8
