OrderStatusID,OrderID,StatusCode,StatusDate,is_current,is_open
1,1,P,2024-07-04,1,True
5,2,P,2024-06-18,0,True
6,2,BZ,2024-06-21,0,True
7,2,BV,2024-06-30,1,True
9,3,P,2024-06-15,0,True
10,3,AS,2024-06-17,0,True
11,3,D,2024-06-19,1,False
12,4,P,2024-06-15,0,True
13,4,AS,2024-06-18,0,True
14,4,D,2024-06-22,1,False
15,5,P,2024-06-22,0,True
16,5,BA,2024-06-27,0,True
17,5,AS,2024-06-29,1,True
19,6,P,2024-07-02,0,True
20,6,AS,2024-07-04,1,True
22,7,P,2024-06-17,0,True
23,7,AS,2024-06-23,1,True
25,8,P,2024-06-15,0,True
26,8,AS,2024-06-19,0,True
27,8,D,2024-06-26,1,False
28,9,P,2024-06-22,0,True
29,9,AS,2024-06-25,1,True
31,10,P,2024-06-14,0,True
32,10,BB,2024-06-17,0,True
33,10,AS,2024-07-05,1,True
35,11,P,2024-06-17,0,True
36,11,AS,2024-06-20,0,True
37,11,D,2024-06-27,1,False
38,12,P,2024-06-30,0,True
39,12,AS,2024-07-05,1,True
41,13,P,2024-06-20,0,True
42,13,BB,2024-06-22,0,True
43,13,BA,2024-06-24,0,True
44,13,AS,2024-06-28,1,True
46,14,P,2024-07-03,1,True
50,15,P,2024-06-21,0,True
51,15,BR,2024-06-26,1,False
52,16,P,2024-06-07,0,True
53,16,AS,2024-06-12,0,True
54,16,D,2024-06-16,1,False
55,17,P,2024-06-19,0,True
56,17,BA,2024-06-22,0,True
57,17,AS,2024-06-23,1,True
59,18,P,2024-06-08,0,True
60,18,AS,2024-06-10,0,True
61,18,D,2024-06-17,1,False
62,19,P,2024-07-04,1,True
65,20,P,2024-06-30,0,True
66,20,BA,2024-07-01,0,True
67,20,AS,2024-07-03,1,True
69,21,P,2024-06-24,0,True
70,21,BA,2024-06-26,0,True
71,21,AS,2024-06-29,1,True
73,22,P,2024-06-22,0,True
74,22,AS,2024-06-25,0,True
75,22,D,2024-07-05,1,False
76,23,P,2024-06-22,0,True
77,23,AS,2024-06-25,0,True
78,23,D,2024-06-30,1,False
79,24,P,2024-06-08,0,True
80,24,BA,2024-06-11,0,True
81,24,AS,2024-06-13,0,True
82,24,D,2024-06-22,1,False
83,25,P,2024-06-11,0,True
84,25,AS,2024-06-14,0,True
85,25,D,2024-06-17,1,False
86,26,P,2024-06-22,0,True
87,26,AS,2024-06-24,0,True
88,26,D,2024-07-04,1,False
89,27,P,2024-06-24,0,True
90,27,AS,2024-06-28,0,True
91,27,D,2024-07-03,1,False
92,28,P,2024-06-17,0,True
93,28,AS,2024-06-20,0,True
94,28,D,2024-07-01,1,False
95,29,P,2024-06-08,0,True
96,29,AS,2024-06-12,0,True
97,29,D,2024-06-21,1,False
98,30,P,2024-07-01,1,True
101,31,P,2024-06-05,0,True
102,31,BA,2024-06-08,0,True
103,31,AS,2024-06-11,0,True
104,31,D,2024-06-25,1,False
105,32,P,2024-06-17,0,True
106,32,AS,2024-06-19,0,True
107,32,D,2024-07-01,1,False
108,33,P,2024-07-02,1,True
111,34,P,2024-07-04,1,True
115,35,P,2024-06-29,0,True
116,35,AS,2024-07-01,1,True
118,36,P,2024-06-25,0,True
119,36,AS,2024-06-27,0,True
120,36,D,2024-07-05,1,False
121,37,P,2024-06-19,0,True
122,37,AS,2024-06-21,0,True
123,37,D,2024-06-26,1,False
124,38,P,2024-07-01,0,True
125,38,BB,2024-07-05,1,True
128,39,P,2024-06-15,0,True
129,39,AS,2024-06-20,0,True
130,39,D,2024-07-05,1,False
131,40,P,2024-06-25,0,True
132,40,AS,2024-06-27,0,True
133,40,D,2024-07-04,1,False
134,41,P,2024-06-21,0,True
135,41,AS,2024-06-23,1,True
137,42,P,2024-06-27,0,True
138,42,BA,2024-07-02,0,True
