OrderID,InventoryID,SupplierID,SupplyID,WarehouseID,Quantity,UnitPrice,TotalInvoice,OrderDate,Unscheduled,Priority,DeliveryDate,LateDelivery,ExpectedDeliveryDate
1,1,7,1,1,1,274.82,274.82,2024-07-04,1,8,,0,2024-07-11
2,1,9,1,1,1,274.82,274.82,2024-06-18,1,2,,1,2024-06-27
3,1,7,1,1,1,274.82,274.82,2024-06-15,0,1,2024-06-19,0,2024-06-22
4,1,7,1,1,3,274.82,824.46,2024-06-15,0,2,2024-06-22,0,2024-06-22
5,1,3,1,1,2,274.82,549.64,2024-06-22,0,4,,1,2024-07-03
6,1,9,1,1,1,274.82,274.82,2024-07-02,0,2,,0,2024-07-11
7,1,3,1,1,1,274.82,274.82,2024-06-17,0,1,,1,2024-06-28
8,1,3,1,1,2,274.82,549.64,2024-06-15,0,1,2024-06-26,0,2024-06-26
9,1,7,1,1,1,274.82,274.82,2024-06-22,0,3,,1,2024-06-29
10,1,7,1,1,1,274.82,274.82,2024-06-14,0,2,,1,2024-06-21
11,1,3,1,1,1,274.82,274.82,2024-06-17,0,1,2024-06-27,0,2024-06-28
12,1,7,1,1,1,274.82,274.82,2024-06-30,0,3,,0,2024-07-07
13,1,7,1,1,1,274.82,274.82,2024-06-20,0,2,,1,2024-06-27
14,1,9,1,1,2,274.82,549.64,2024-07-03,1,1,,0,2024-07-12
15,1,9,1,1,1,274.82,274.82,2024-06-21,0,2,,1,2024-06-30
16,1,3,1,1,1,274.82,274.82,2024-06-07,0,3,2024-06-16,0,2024-06-18
17,1,7,1,1,2,274.82,549.64,2024-06-19,0,2,,1,2024-06-26
18,1,9,1,1,1,274.82,274.82,2024-06-08,0,4,2024-06-17,0,2024-06-17
19,1,3,1,1,2,274.82,549.64,2024-07-04,0,1,,0,2024-07-15
20,1,9,1,1,1,274.82,274.82,2024-06-30,0,2,,0,2024-07-09
21,1,3,1,1,2,274.82,549.64,2024-06-24,1,1,,1,2024-07-05
22,2,7,1,2,5,274.82,1374.1,2024-06-22,0,7,2024-07-05,0,2024-07-06
23,2,9,1,2,1,274.82,274.82,2024-06-22,0,2,2024-06-30,0,2024-07-06
24,2,3,1,2,2,274.82,549.64,2024-06-08,0,8,2024-06-22,0,2024-06-25
25,2,3,1,2,10,274.82,2748.2,2024-06-11,0,2,2024-06-17,0,2024-06-28
26,2,3,1,2,4,274.82,1099.28,2024-06-22,0,8,2024-07-04,0,2024-07-09
