SupplierID,SupplierName,Latitude,Longitude,ReliabilityScore
1,Crawford Group,36.255319259755524,-108.74872903617451,0.91
2,Rodgers Group,37.02550068966856,-113.07425464458392,0.97
3,Roberts PLC,32.38950919021586,-90.54533153574774,0.9
4,Levine-Michael,36.37508060786689,-116.9200656265182,0.82
5,James Group,42.09433130852416,-97.58260992196628,0.81
6,"Gray, Johnson and Cobb",37.721499796106336,-103.9767193916708,0.8
7,Holden-Lopez,36.10854221193652,-87.43743959921676,0.94
8,Jensen Group,32.94646569951266,-110.74718831274001,0.91
9,Diaz-Wall,35.79514095981876,-107.23988706181152,0.87
10,Flynn Inc,35.18492644195692,-81.38161964895869,0.98
