SupplyID,SupplierID,AverageTimeToShipment
1,9,5.0
1,3,12.69
1,7,3.18
2,5,10.61
2,10,4.25
2,6,13.97
3,5,5.28
3,6,5.83
3,10,10.07
4,2,8.99
4,3,15.28
4,10,6.59
4,8,12.06
5,8,9.87
5,6,4.27
5,1,6.29
5,4,7.91
6,5,7.77
6,7,13.64
6,10,11.09
6,8,8.76
7,8,13.3
7,1,6.05
7,10,8.84
7,2,3.69
8,8,7.98
8,1,20.14
8,2,6.1
8,9,6.75
9,1,7.53
10,9,7.65
10,8,6.44
10,1,8.78
10,3,10.15
11,5,6.98
11,10,7.88
11,8,8.8
11,7,7.9
12,10,11.56
13,5,7.12
13,10,12.67
13,1,27.75
13,6,5.82
14,5,16.37
14,9,9.63
15,8,15.71
15,3,6.7
15,4,6.42
16,9,4.1
16,5,3.6
16,6,9.21
17,6,8.45
17,10,7.36
17,1,11.29
17,8,13.34
18,7,6.99
18,9,7.59
19,10,7.26
19,9,10.73
19,5,13.41
